Song Number,Song Name,Artist Name,Album Name,Release Date,Popularity
1,What You Know Bout Love,Pop Smoke,Shoot For The Stars Aim For The Moon,2020-07-03,80
2,Dior,Pop Smoke,Meet The Woo,2019-07-26,79
3,Mood Swings (feat. Lil Tjay),Pop Smoke,Shoot For The Stars Aim For The Moon,2020-07-03,78
4,For The Night (feat. Lil Baby & DaBaby),Pop Smoke,Shoot For The Stars Aim For The Moon,2020-07-03,78
5,Invincible,Pop Smoke,Meet The Woo 2,2020-02-07,75
6,Hello (feat. A Boogie Wit da Hoodie),Pop Smoke,Shoot For The Stars Aim For The Moon (Deluxe),2020-07-20,75
7,GATTI,JACKBOYS,JACKBOYS,2019-12-27,74
8,Element,Pop Smoke,Meet The Woo 2,2020-02-07,73
9,Got It On Me,Pop Smoke,Shoot For The Stars Aim For The Moon,2020-07-03,72
10,The Woo (feat. 50 Cent & Roddy Ricch),Pop Smoke,Shoot For The Stars Aim For The Moon,2020-07-03,73
11,Bulleya,Vishal-Shekhar,Sultan,2016-05-31,76
12,"Humnava (From ""Hamari Adhuri Kahani"")",Mithoon,"Humnava (From ""Hamari Adhuri Kahani"")",2015-05-21,66
13,Jiyein Kyun,Pritam,Dum Maaro Dum,2011-03-15,68
14,Kyon,Pritam,Barfi! (Original Motion Picture Soundtrack),2012-06-24,68
15,Moh Moh Ke Dhaage (Male),Anu Malik,Dum Laga Ke Haisha,2015-02-09,63
16,Yaad,Pritam,Metro ... In Dino (Side A),2025-06-23,63
17,Hote Tak,Pritam,Metro ... In Dino (Side B),2025-07-14,39
18,Kaun Mera,Papon,Special 26,2013-01-10,56
19,Qayde Se - Film Version,Pritam,Metro ... In Dino (Side B),2025-07-14,41
20,"Mujhe Kaise, Pata Na Chala",Papon,"Mujhe Kaise, Pata Na Chala",2022-10-01,55
21,Apna Bana Le,Sachin-Jigar,Bhediya (Original Motion Picture Soundtrack),2022-12-06,80
22,"Tujhe Kitna Chahne Lage (From ""Kabir Singh"")",Arijit Singh,"Tujhe Kitna Chahne Lage (From ""Kabir Singh"")",2019-05-31,82
23,"Sajni (From ""Laapataa Ladies"")",Ram Sampath,"Sajni (From ""Laapataa Ladies"")",2024-02-12,82
24,Tum Hi Ho,Mithoon,Aashiqui 2,2013-04-06,81
25,"Agar Tum Saath Ho (From ""Tamasha"")",Alka Yagnik,Love Wali Feeling: Valentine Special,2017-02-10,72
26,"Humdard (From ""Ek Villain"")",Arijit Singh,Ultimate Love Songs - Arijit Singh,2020-05-19,79
27,"Satranga (From ""ANIMAL"")",Arijit Singh,"Satranga (From ""ANIMAL"")",2023-10-27,81
28,Zamaana Lage,Pritam,Metro ... In Dino (Side A),2025-06-23,69
29,"Tainu Khabar Nahi - From ""Munjya""",Sachin-Jigar,"Tainu Khabar Nahi (From ""Munjya"")",2024-05-31,79
30,"Mast Magan (From ""2 States"")",Arijit Singh,Groove With Arijit Singh,2019-05-22,75
31,from me to u (feat. Poppy),BABYMETAL,from me to u (feat. Poppy),2025-04-04,71
32,V.A.N,Bad Omens,CONCRETE JUNGLE [THE OST],2024-05-31,67
33,new way out,Poppy,Negative Spaces,2024-11-15,68
34,Suffocate (feat. Poppy),Knocked Loose,You Won't Go Before You're Supposed To,2024-05-10,67
35,the cost of giving up,Poppy,Negative Spaces,2024-11-15,64
36,they’re all around us,Poppy,Negative Spaces,2024-11-15,63
37,Girls In Bikinis,Poppy,Am I A Girl?,2018-10-31,61
38,I Disagree,Poppy,I Disagree,2020-01-10,60
39,crystallized,Poppy,Negative Spaces,2024-11-15,60
40,All The Things She Said,Poppy,All The Things She Said,2020-06-03,59
41,Ye Tune Kya Kiya,Pritam,Once Upon Ay Time In Mumbai Dobaara !,2013-07-22,83
42,Zamaana Lage,Pritam,Metro ... In Dino (Side A),2025-06-23,69
43,O Maahi,Pritam,Dunki,2023-12-20,75
44,Tum Se Hi,Pritam,Jab We Met,2007-09-21,79
45,Kesariya,Pritam,Brahmastra (Original Motion Picture Soundtrack),2022-10-06,71
46,Zara Sa,Pritam,Jannat (Original Motion Picture Soundtrack),2008-03-07,79
47,Ae Dil Hai Mushkil Title Track,Pritam,Ae Dil Hai Mushkil (Original Motion Picture Soundtrack) [Deluxe Edition],2016-10-26,76
48,Shayad,Pritam,Love Aaj Kal (Original Motion Picture Soundtrack),2020-02-14,78
49,Tera Hone Laga Hoon,Atif Aslam,Best of Romance: Atif Aslam & Pritam,2023-04-20,75
50,"Ve Kamleya (From ""Rocky Aur Rani Kii Prem Kahaani"")",Pritam,Rocky Aur Rani Kii Prem Kahaani,2024-05-15,73
51,Timeless (feat Playboi Carti),The Weeknd,Hurry Up Tomorrow,2025-01-31,94
52,"One Of The Girls (with JENNIE, Lily Rose Depp)",The Weeknd,The Idol Episode 4 (Music from the HBO Original Series),2023-06-23,94
